buying_type,created_time,daily_budget,id,name,objective,special_ad_categories,start_time,status,stop_time,updated_time
AUCTION,2025-10-31T13:01:02-0400,2500,120236623914750180,Musicians November 2025,OUTCOME_TRAFFIC,[],2025-10-31T13:01:03-0400,PAUSED,,2025-11-06T15:05:18-0500
AUCTION,2025-02-23T19:13:22-0500,,120217256878000180,DOD | ASC | NEW  Campaign,OUTCOME_SALES,[],2025-02-23T19:13:23-0500,PAUSED,2025-03-31T20:08:00-0400,2025-03-27T14:31:40-0400
AUCTION,2024-11-29T13:03:19-0500,,120214027846010180,DOD | RTG | 2024 | US,OUTCOME_SALES,[],2024-11-29T13:03:20-0500,PAUSED,,2025-02-14T03:17:22-0500
AUCTION,2024-11-29T12:40:08-0500,,120214025202170180,DOD | ASC | 2024 | WC  Campaign,OUTCOME_SALES,[],2024-11-29T12:40:09-0500,PAUSED,,2025-02-23T19:14:22-0500
AUCTION,2024-11-13T12:41:18-0500,4010,120213630275970180,Sales | CBO | Goodz | The Party Pack,OUTCOME_SALES,[],2024-11-13T12:41:19-0500,PAUSED,,2024-11-20T02:17:27-0500
AUCTION,2024-11-06T01:08:41-0500,,120213342003480180,Sales | ABO | Goodz | The Party Pack - Emran Nov '24,OUTCOME_SALES,[],2024-11-06T01:08:42-0500,PAUSED,,2024-11-30T18:35:49-0500
AUCTION,2024-08-07T09:47:11-0400,,120211019683530180,[CM] Chromatic Creative A/B Test - I Miss You,OUTCOME_SALES,[],2024-08-07T09:47:13-0400,PAUSED,,2024-08-14T12:20:43-0400
AUCTION,2024-08-07T09:38:52-0400,,120211018678040180,[CM] Chromatic Creative A/B Test - Carousel (2),OUTCOME_SALES,[],2024-08-07T09:38:52-0400,PAUSED,,2024-08-14T12:20:45-0400
AUCTION,2024-07-26T17:22:58-0400,,120210745693580180,[CM] Chromatic Creative A/B Test - Carousel,OUTCOME_SALES,[],2024-07-26T17:23:02-0400,PAUSED,,2024-08-06T17:18:43-0400
AUCTION,2024-07-26T17:07:23-0400,,120210745414070180,[CM] Chromatic Creative - River Jams,OUTCOME_SALES,[],2024-07-26T17:07:24-0400,PAUSED,,2024-08-16T10:19:49-0400
AUCTION,2024-06-12T17:10:04-0400,,120209793699190180,[CM] Goodz Brand Campaign,OUTCOME_SALES,[],2024-06-13T00:01:00-0400,PAUSED,,2024-07-30T16:16:27-0400
AUCTION,2024-05-31T15:11:08-0400,,120209530536800180,[CM] Father's Day Jazz Crate,OUTCOME_SALES,[],2024-06-03T03:38:00-0400,PAUSED,,2024-06-17T09:33:50-0400
AUCTION,2024-05-17T12:07:03-0400,,120209115257120180,TOF_A/B Test Campaign_Sales_PP ads,OUTCOME_SALES,[],2024-05-17T12:07:06-0400,PAUSED,,2024-05-27T22:09:12-0400
AUCTION,2024-05-17T12:05:56-0400,,120209114745420180,TOF_A/B Test Campaign_Sales_HP ads,OUTCOME_SALES,[],2024-05-17T12:05:57-0400,PAUSED,,2024-07-01T09:04:47-0400
AUCTION,2024-04-22T11:18:12-0400,2000,120208242028910180,04222024_Advantage+,OUTCOME_SALES,[],2024-04-22T11:18:12-0400,PAUSED,,2024-04-26T13:43:19-0400
AUCTION,2024-01-26T09:54:31-0500,,120204380338100180,Sales - Goodz,OUTCOME_SALES,[],2024-01-26T09:54:32-0500,PAUSED,,2024-11-12T14:38:34-0500
AUCTION,2024-01-18T16:06:22-0500,2000,120204142182080180,Valentines Traffic Campaign,OUTCOME_TRAFFIC,[],2024-01-18T16:06:22-0500,PAUSED,,2024-01-26T10:25:57-0500
AUCTION,2024-01-17T09:50:29-0500,2000,120204099753870180,Valentines Sales Campaign,OUTCOME_SALES,[],2024-01-17T09:50:29-0500,PAUSED,,2024-01-31T01:19:49-0500
AUCTION,2023-12-07T15:07:11-0500,,120201721354540180,Holiday Video Campaign,OUTCOME_ENGAGEMENT,[],2023-12-07T15:07:11-0500,PAUSED,,2023-12-18T18:29:25-0500
AUCTION,2023-11-27T09:35:05-0500,,120201179005140180,First Mixtape Traffic Campaign,OUTCOME_TRAFFIC,[],2023-11-27T09:35:05-0500,PAUSED,,2023-12-02T10:09:52-0500
AUCTION,2023-11-26T21:00:30-0500,,120201166876270180,Advantage+ shopping campaign 11/26/2023 Campaign,OUTCOME_SALES,[],2023-11-26T21:00:31-0500,PAUSED,,2023-11-27T09:46:13-0500
